Attackers,Defenders,Attacker Leader,Defender Leader,Stronghold,Average Attacker Kills,Average Attacker Wins,Average Defender Kills,Average Defender Wins,Test Run Time
1,1,True,True,False,1.0  ,1.0  ,0.0  ,0.0  ,0ms
2,1,True,True,False,0.0  ,0.0  ,1.0  ,1.0  ,0ms
3,1,True,True,False,0.0  ,0.0  ,1.0  ,1.0  ,0ms
1,2,True,True,False,0.0  ,0.0  ,1.0  ,1.0  ,0ms
2,2,True,True,False,1.0  ,0.0  ,1.0  ,1.0  ,0ms
3,2,True,True,False,2.0  ,1.0  ,0.0  ,0.0  ,0ms
1,1,False,True,False,0.0  ,0.0  ,1.0  ,1.0  ,0ms
2,1,False,True,False,0.0  ,0.0  ,1.0  ,1.0  ,0ms
3,1,False,True,False,0.0  ,0.0  ,1.0  ,1.0  ,0ms
1,2,False,True,False,0.0  ,0.0  ,1.0  ,1.0  ,0ms
2,2,False,True,False,2.0  ,1.0  ,0.0  ,0.0  ,0ms
3,2,False,True,False,0.0  ,0.0  ,2.0  ,1.0  ,0ms
1,1,True,False,False,0.0  ,0.0  ,1.0  ,1.0  ,0ms
2,1,True,False,False,1.0  ,1.0  ,0.0  ,0.0  ,0ms
3,1,True,False,False,1.0  ,1.0  ,0.0  ,0.0  ,0ms
1,2,True,False,False,0.0  ,0.0  ,1.0  ,1.0  ,0ms
2,2,True,False,False,2.0  ,1.0  ,0.0  ,0.0  ,0ms
3,2,True,False,False,0.0  ,0.0  ,2.0  ,1.0  ,0ms
1,1,False,False,False,1.0  ,1.0  ,0.0  ,0.0  ,0ms
2,1,False,False,False,0.0  ,0.0  ,1.0  ,1.0  ,0ms
3,1,False,False,False,1.0  ,1.0  ,0.0  ,0.0  ,0ms
1,2,False,False,False,0.0  ,0.0  ,1.0  ,1.0  ,0ms
2,2,False,False,False,0.0  ,0.0  ,2.0  ,1.0  ,0ms
3,2,False,False,False,2.0  ,1.0  ,0.0  ,0.0  ,0ms
1,1,True,True,True,1.0  ,1.0  ,0.0  ,0.0  ,0ms
2,1,True,True,True,1.0  ,1.0  ,0.0  ,0.0  ,0ms
3,1,True,True,True,0.0  ,0.0  ,1.0  ,1.0  ,0ms
1,2,True,True,True,0.0  ,0.0  ,1.0  ,1.0  ,0ms
2,2,True,True,True,2.0  ,1.0  ,0.0  ,0.0  ,0ms
3,2,True,True,True,0.0  ,0.0  ,2.0  ,1.0  ,0ms
1,1,False,True,True,0.0  ,0.0  ,1.0  ,1.0  ,0ms
2,1,False,True,True,0.0  ,0.0  ,1.0  ,1.0  ,0ms
3,1,False,True,True,1.0  ,1.0  ,0.0  ,0.0  ,0ms
1,2,False,True,True,0.0  ,0.0  ,1.0  ,1.0  ,0ms
2,2,False,True,True,0.0  ,0.0  ,2.0  ,1.0  ,0ms
3,2,False,True,True,1.0  ,0.0  ,1.0  ,1.0  ,0ms
1,1,True,False,True,0.0  ,0.0  ,1.0  ,1.0  ,0ms
2,1,True,False,True,0.0  ,0.0  ,1.0  ,1.0  ,0ms
3,1,True,False,True,1.0  ,1.0  ,0.0  ,0.0  ,0ms
1,2,True,False,True,1.0  ,0.0  ,0.0  ,1.0  ,0ms
2,2,True,False,True,0.0  ,0.0  ,2.0  ,1.0  ,0ms
3,2,True,False,True,2.0  ,1.0  ,0.0  ,0.0  ,0ms
1,1,False,False,True,1.0  ,1.0  ,0.0  ,0.0  ,0ms
2,1,False,False,True,1.0  ,1.0  ,0.0  ,0.0  ,0ms
3,1,False,False,True,1.0  ,1.0  ,0.0  ,0.0  ,0ms
1,2,False,False,True,0.0  ,0.0  ,1.0  ,1.0  ,0ms
2,2,False,False,True,0.0  ,0.0  ,2.0  ,1.0  ,0ms
3,2,False,False,True,2.0  ,1.0  ,0.0  ,0.0  ,0ms
