Attackers,Defenders,Attacker Leader,Defender Leader,Stronghold,Average Attacker Kills,Average Attacker Wins,Average Defender Kills,Average Defender Wins,Test Run Time
1,1,True,True,False,0.5,0.5,0.5,0.5,0ms
2,1,True,True,False,0.7,0.7,0.3,0.3,0ms
3,1,True,True,False,0.7,0.7,0.3,0.3,1ms
1,2,True,True,False,0.2,0.0,0.8,1.0,0ms
2,2,True,True,False,1.2,0.4,0.8,0.6,0ms
3,2,True,True,False,1.4,0.6,0.6,0.4,0ms
1,1,False,True,False,0.2,0.2,0.8,0.8,0ms
2,1,False,True,False,0.5,0.5,0.5,0.5,0ms
3,1,False,True,False,0.3,0.3,0.7,0.7,0ms
1,2,False,True,False,0.2,0.0,0.8,1.0,0ms
2,2,False,True,False,1.4,0.5,0.6,0.5,0ms
3,2,False,True,False,0.8,0.2,1.2,0.8,0ms
1,1,True,False,False,0.8,0.8,0.2,0.2,0ms
2,1,True,False,False,0.8,0.8,0.2,0.2,0ms
3,1,True,False,False,0.8,0.8,0.2,0.2,0ms
1,2,True,False,False,0.4,0.0,0.6,1.0,0ms
2,2,True,False,False,1.0,0.3,1.0,0.7,5ms
3,2,True,False,False,1.4,0.5,0.6,0.5,0ms
1,1,False,False,False,0.3,0.3,0.7,0.7,0ms
2,1,False,False,False,0.3,0.3,0.7,0.7,0ms
3,1,False,False,False,1.0,1.0,0.0,0.0,0ms
1,2,False,False,False,0.1,0.0,0.9,1.0,0ms
2,2,False,False,False,0.7,0.1,1.3,0.9,0ms
3,2,False,False,False,1.0,0.5,1.0,0.5,0ms
1,1,True,True,True,0.1,0.1,0.9,0.9,0ms
2,1,True,True,True,0.4,0.4,0.6,0.6,0ms
3,1,True,True,True,0.4,0.4,0.6,0.6,0ms
1,2,True,True,True,0.2,0.0,0.8,1.0,0ms
2,2,True,True,True,0.5,0.0,1.5,1.0,0ms
3,2,True,True,True,1.1,0.3,0.9,0.7,0ms
1,1,False,True,True,0.0,0.0,1.0,1.0,0ms
2,1,False,True,True,0.2,0.2,0.8,0.8,0ms
3,1,False,True,True,0.4,0.4,0.6,0.6,0ms
1,2,False,True,True,0.1,0.0,0.9,1.0,0ms
2,2,False,True,True,0.3,0.0,1.7,1.0,0ms
3,2,False,True,True,0.8,0.2,1.2,0.8,5ms
1,1,True,False,True,0.3,0.3,0.7,0.7,0ms
2,1,True,False,True,0.5,0.5,0.5,0.5,0ms
3,1,True,False,True,0.5,0.5,0.5,0.5,0ms
1,2,True,False,True,0.2,0.0,0.8,1.0,0ms
2,2,True,False,True,0.7,0.3,1.3,0.7,0ms
3,2,True,False,True,1.4,0.6,0.6,0.4,0ms
1,1,False,False,True,0.3,0.3,0.7,0.7,1ms
2,1,False,False,True,0.2,0.2,0.8,0.8,0ms
3,1,False,False,True,0.9,0.9,0.1,0.1,0ms
1,2,False,False,True,0.1,0.0,0.9,1.0,0ms
2,2,False,False,True,0.4,0.1,1.6,0.9,0ms
3,2,False,False,True,0.7,0.2,1.3,0.8,0ms
